Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,49,172,102.5,54,37,0,145,121,145,84,199,84,199,121
1,80,53,174.901,103.258,53.7195,36.8078,0,148.041,121.662,148.041,84.8545,201.761,84.8545,201.761,121.662
2,120,53,180.098,104.202,54.03,37.0205,0,153.083,122.713,153.083,85.6922,207.113,85.6922,207.113,122.713
3,160,53,183.587,104.343,54.0395,37.0271,0,156.567,122.856,156.567,85.8291,210.606,85.8291,210.606,122.856
4,200,56,187.038,104.651,53.9437,36.9614,0,160.066,123.132,160.066,86.1703,214.01,86.1703,214.01,123.132
5,240,54,193.386,105.134,56.3103,38.583,0,165.231,124.426,165.231,85.8427,221.541,85.8427,221.541,124.426
6,280,58,196.257,105.572,55.5223,38.0431,0,168.496,124.593,168.496,86.5502,224.019,86.5502,224.019,124.593
7,320,58,198.934,105.996,54.9544,37.6539,0,171.456,124.823,171.456,87.1688,226.411,87.1688,226.411,124.823
8,360,56,202.05,106.631,55.4402,37.9868,0,174.33,125.625,174.33,87.6379,229.77,87.6379,229.77,125.625
9,400,55,204.778,106.554,55.3406,37.9185,0,177.108,125.513,177.108,87.5948,232.449,87.5948,232.449,125.513
10,440,53,207.16,107.934,55.2932,37.8861,0,179.514,126.877,179.514,88.9909,234.807,88.9909,234.807,126.877
11,480,56,208.841,108.145,56.2131,38.5164,0,180.734,127.403,180.734,88.8866,236.947,88.8866,236.947,127.403
12,520,55,208.774,108.732,55.2099,37.829,0,181.169,127.647,181.169,89.8178,236.379,89.8178,236.379,127.647
13,560,54,210.002,109.484,54.8429,37.5775,0,182.581,128.273,182.581,90.6952,237.424,90.6952,237.424,128.273
14,600,57,209.727,110.087,54.7713,37.5285,0,182.341,128.852,182.341,91.3232,237.112,91.3232,237.112,128.852
15,640,55,208.437,111.356,55.3235,37.9068,0,180.775,130.31,180.775,92.4031,236.098,92.403,236.098,130.31
16,680,54,207.412,111.974,54.7059,37.4837,0,180.059,130.716,180.059,93.2324,234.765,93.2324,234.765,130.716
17,720,56,205.178,113.016,54.0129,37.0088,0,178.172,131.521,178.172,94.5117,232.185,94.5117,232.185,131.521
18,760,53,203.08,113.234,54.2102,37.144,0,175.975,131.806,175.975,94.6622,230.185,94.6622,230.185,131.806
19,800,52,200.507,113.534,54.103,37.0706,0,173.456,132.069,173.456,94.9987,227.559,94.9987,227.559,132.069
20,840,52,199.102,114.037,54.8902,37.6099,0,171.657,132.842,171.657,95.2325,226.547,95.2325,226.547,132.842
21,880,55,194.783,115.787,54.6035,37.4135,0,167.481,134.494,167.481,97.0801,222.085,97.0801,222.085,134.494
22,920,55,193.648,116.371,55.2618,37.8646,0,166.017,135.303,166.017,97.4383,221.279,97.4383,221.279,135.303
23,960,53,192.39,117.167,54.8685,37.5951,0,164.956,135.965,164.956,98.3698,219.825,98.3698,219.825,135.965
24,1000,52,190.912,117.535,54.2808,37.1924,0,163.772,136.131,163.772,98.9384,218.052,98.9384,218.052,136.131
25,1040,54,189.811,118.76,53.8226,36.8784,0,162.9,137.2,162.9,100.321,216.723,100.321,216.723,137.2
26,1080,53,189.841,118.368,53.9806,36.9867,0,162.85,136.861,162.85,99.8747,216.831,99.8747,216.831,136.861
27,1120,54,189.918,119.061,53.945,36.9623,0,162.946,137.542,162.946,100.58,216.891,100.58,216.891,137.542
28,1160,56,190.85,119.338,54.3099,37.2123,0,163.695,137.944,163.695,100.732,218.005,100.732,218.005,137.944
29,1200,55,194.347,119.287,54.16,37.1096,0,167.267,137.841,167.267,100.732,221.427,100.732,221.427,137.841
30,1240,52,196.155,118.862,54.3815,37.2614,0,168.964,137.492,168.964,100.231,223.345,100.231,223.345,137.492
31,1280,52,198.993,119.33,54.5395,37.3697,0,171.723,138.015,171.723,100.645,226.263,100.645,226.263,138.015
32,1320,52,200.513,119.426,53.8916,36.9258,0,173.568,137.889,173.568,100.963,227.459,100.963,227.459,137.889
33,1360,55,203.4,119.425,54.0973,37.0667,0,176.352,137.958,176.352,100.891,230.449,100.891,230.449,137.958
34,1400,55,205.561,119.181,54.7748,37.5309,0,178.174,137.947,178.174,100.416,232.949,100.416,232.949,137.947
35,1440,51,205.728,119.336,54.758,37.5194,0,178.349,138.096,178.349,100.577,233.107,100.577,233.107,138.096
